"Timestamp","Target","Status","Message"
"2026-02-24 23:44:42","192.168.0.220","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:44:45","192.168.0.221","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:44:48","192.168.0.222","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:44:51","192.168.0.223","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:44:54","192.168.0.224","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:44:57","192.168.0.225","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:00","192.168.0.226","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:03","192.168.0.227","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:06","192.168.0.228","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:09","192.168.0.229","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:12","192.168.0.230","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:15","192.168.0.231","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:18","192.168.0.232","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:21","192.168.0.233","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:24","192.168.0.234","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:27","192.168.0.235","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:30","192.168.0.236","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:33","192.168.0.237","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:36","192.168.0.238","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:39","192.168.0.239","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:42","192.168.0.240","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:45","192.168.0.241","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:48","192.168.0.242","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:45:51","192.168.0.243","WARNING","Skipped (Offline/Unreachable)"
